ANO DA AVALIAÇÃO;CÓDIGO UF;SIGLA UF;NOME UF;REDE;PERCENTUAL DE ALUNOS ALFABETIZADOS Saeb 2019;PERCENTUAL DE ALUNOS ALFABETIZADOS Saeb 2021;PERCENTUAL DE ALUNOS ALFABETIZADOS Sistemas estaduais de avaliação 2023;META 2024 (2);META 2025;META 2026;META 2027;META 2028;META 2029;META 2030;PERCENTUAL DE PARTICIPAÇÃO
ANO;CD_UF;SIGLA_UF;NOME_UF;REDE;SAEB_2019;SAEB_2021;PC_ALUNO_ALFABETIZADO;META_FINAL_2024;META_FINAL_2025;META_FINAL_2026;META_FINAL_2027;META_FINAL_2028;META_FINAL_2029;META_FINAL_2030;PC_AVALIADOS_LP
2023;;;Brasil;PÚBLICA;55;36;56;60;64;67;71;74;77;> 80;86
2023;12;AC;Acre;PÚBLICA;53;20;- ;- ;- ;- ;- ;- ;- ;- ;- 
2023;27;AL;Alagoas;PÚBLICA;39;30;44;50;56;61;67;72;76;> 80;92
2023;13;AM;Amazonas;PÚBLICA;44;29;52;57;61;66;70;73;77;> 80;76
2023;16;AP;Amapá;PÚBLICA;25;19;42;48;54;60;66;71;76;> 80;90
2023;29;BA;Bahia;PÚBLICA;41;24;37;43;50;57;64;70;75;> 80;85
2023;23;CE;Ceará;PÚBLICA;73;45;85;>80;>80;>80;>80;>80;>80;>80;95
2023;53;DF;Distrito Federal;PÚBLICA;63;40;- ;- ;- ;- ;- ;- ;- ;- ;- 
2023;32;ES;Espírito Santo;PÚBLICA;62;46;68;70;72;74;75;77;79;> 80;88
2023;52;GO;Goiás;PÚBLICA;63;39;67;69;71;73;75;77;78;> 80;87
2023;21;MA;Maranhão;PÚBLICA;33;23;56;60;64;68;71;74;77;> 80;89
2023;31;MG;Minas Gerais;PÚBLICA;64;43;60;63;66;70;72;75;78;> 80;90
2023;50;MS;Mato Grosso do Sul;PÚBLICA;41;31;47;53;58;63;68;72;76;> 80;88
2023;51;MT;Mato Grosso;PÚBLICA;52;22;55;59;63;67;71;74;77;> 80;87
2023;15;PA;Pará;PÚBLICA;37;37;48;54;59;64;68;73;77;> 80;81
2023;25;PB;Paraíba;PÚBLICA;45;39;51;56;61;65;69;73;77;> 80;88
2023;26;PE;Pernambuco;PÚBLICA;45;28;59;62;66;69;72;75;78;> 80;92
2023;22;PI;Piauí;PÚBLICA;50;37;52;57;62;66;70;74;77;> 80;93
2023;41;PR;Paraná;PÚBLICA;68;40;73;74;75;76;77;78;79;> 80;86
2023;33;RJ;Rio de Janeiro;PÚBLICA;49;27;52;57;61;66;70;73;77;> 80;81
2023;24;RN;Rio Grande do Norte;PÚBLICA;32;18;37;44;51;57;64;70;75;> 80;79
2023;11;RO;Rondônia;PÚBLICA;46;25;65;67;70;72;74;76;78;> 80;88
2023;14;RR;Roraima;PÚBLICA;45;27;- ;- ;- ;- ;- ;- ;- ;- ;- 
2023;43;RS;Rio Grande do Sul;PÚBLICA;68;35;63;66;69;71;74;76;78;> 80;81
2023;42;SC;Santa Catarina;PÚBLICA;69;55;61;65;67;70;73;75;78;> 80;79
2023;28;SE;Sergipe;PÚBLICA;31;20;31;38;46;54;61;68;75;> 80;88
2023;35;SP;São Paulo;PÚBLICA;60;41;52;57;61;65;70;73;77;> 80;89
2023;17;TO;Tocantins;PÚBLICA;38;14;44;50;55;61;67;72;76;> 80;84
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
